#
# http://www.portaldalinguaportuguesa.org/index.php?action=gentilicos&act=list
#
# toponym;type;demonym:pos;holonym
# toponym (language variant);type;demonym:pos;holonym (country)
#
Aachen;cidade;aacheniano:ADJ;Alemanha
Aachen;cidade;aacheniano:N;Alemanha
Aalen;cidade;aaleniense:ADJ;Alemanha
Aalen;cidade;aaleniense:N;Alemanha
Abaças;freguesia;abacense:ADJ;Vila Real (Portugal)
Abaças;freguesia;abacense:N;Vila Real (Portugal)
Abade de Neiva;freguesia;abadense:ADJ;Braga (Portugal)
Abade de Neiva;freguesia;abadense:N;Braga (Portugal)
Abade de Vermoim;vila;abadense:ADJ;Braga (Portugal)
Abade de Vermoim;vila;abadense:N;Braga (Portugal)
Abadim;vila;abadinense:ADJ;Braga (Portugal)
Abadim;vila;abadinense:N;Braga (Portugal)
Abaeté;cidade;abaeteense:ADJ;Minas Gerais (Brasil)
Abaeté;cidade;abaeteense:N;Minas Gerais (Brasil)
Abambres;vila;abambresense:ADJ;Bragança (Portugal)
Abambres;vila;abambresense:N;Bragança (Portugal)
Abitureiras;vila;abitureirense:ADJ;Santarém (Portugal)
Abitureiras;vila;abitureirense:N;Santarém (Portugal)
Abiul;vila;abiulense:ADJ;Leiria (Portugal)
Abiul;vila;abiulense:N;Leiria (Portugal)
Ablitas;cidade;abliteiro:ADJ;Espanha
Ablitas;cidade;abliteiro:N;Espanha
Ablitas;cidade;ablitense:ADJ;Espanha
Ablitas;cidade;ablitense:N;Espanha
Abrantes;cidade;abrantino:ADJ;Santarém (Portugal)
Abrantes;cidade;abrantino:N;Santarém (Portugal)
Abrécia;região;abretino:ADJ;Ásia
Abrécia;região;abretino:N;Ásia
Abretena;região;abretino:ADJ;Ásia
Abretena;região;abretino:N;Ásia
Acádia;região;acadiano:ADJ;Canadá
Acádia;região;acadiano:N;Canadá
Acarnânia;região;acarnaniano:ADJ;Grécia
Acarnânia;região;acarnaniano:N;Grécia
Acarnânia;região;acarnânio:ADJ;Grécia
Acarnânia;região;acarnânio:N;Grécia
Açores;arquipélago;açorenho:ADJ;Portugal
Açores;arquipélago;açorenho:N;Portugal
Açores;arquipélago;açorense:ADJ;Portugal
Açores;arquipélago;açorense:N;Portugal
Açores;arquipélago;açoriano:ADJ;Portugal
Açores;arquipélago;açoriano:N;Portugal
Acra;cidade;acrense:ADJ;Gana
Acra;cidade;acrense:N;Gana
Acre;estado;acreano:ADJ;Brasil
Acre;estado;acreano:N;Brasil
Adamantina;cidade;adamantinense:ADJ;São Paulo (Brasil)
Adamantina;cidade;adamantinense:N;São Paulo (Brasil)
Adelaide;cidade;adelaidense:ADJ;Austrália
Adelaide;cidade;adelaidense:N;Austrália
Adolfo;cidade;adolfense:ADJ;São Paulo (Brasil)
Adolfo;cidade;adolfense:N;São Paulo (Brasil)
Adrumeto;região;adrumetano:ADJ;Tunísia
Adrumeto;região;adrumetano:N;Tunísia
Adrumeto;região;adrumetino:ADJ;Tunísia
Adrumeto;região;adrumetino:N;Tunísia
Adúlis;cidade;adulita:ADJ;Eritreia
Adúlis;cidade;adulita:N;Eritreia
Afeganistão;país;afegão:ADJ;Ásia
Afeganistão;país;afegão:N;Ásia
África;continente;africano:ADJ;Mundo
África;continente;africano:N;Mundo
África do Sul;país;austro-africano:ADJ;África
África do Sul;país;austro-africano:N;África
África do Sul;país;sul-africano:ADJ;África
África do Sul;país;sul-africano:N;África
Agrigento;cidade;agrigentino:ADJ;Itália
Agrigento;cidade;agrigentino:N;Itália
Aguaí;cidade;aguaiano:ADJ;São Paulo (Brasil)
Aguaí;cidade;aguaiano:N;São Paulo (Brasil)
Aguaí;cidade;aguaiense:ADJ;São Paulo (Brasil)
Aguaí;cidade;aguaiense:N;São Paulo (Brasil)
Águas de São Pedro;cidade;água-pedrense:ADJ;São Paulo (Brasil)
Águas de São Pedro;cidade;água-pedrense:N;São Paulo (Brasil)
Agudos;cidade;agudense:ADJ;São Paulo (Brasil)
Agudos;cidade;agudense:N;São Paulo (Brasil)
Águeda;cidade;aguedense:ADJ;Aveiro (Portugal)
Águeda;cidade;aguedense:N;Aveiro (Portugal)
Aguiar da Beira;vila;aguiarense:ADJ;Guarda (Portugal)
Aguiar da Beira;vila;aguiarense:N;Guarda (Portugal)
Alagoas;estado;alagoano:ADJ;Brasil
Alagoas;estado;alagoano:N;Brasil
Alandroal;vila;alandroalense:ADJ;Évora (Portugal)
Alandroal;vila;alandroalense:N;Évora (Portugal)
Alasca;região;alasquense:ADJ;Estados Unidos
Alasca;região;alasquense:N;Estados Unidos
Alasca;região;alasquiano:ADJ;Estados Unidos
Alasca;região;alasquiano:N;Estados Unidos
Álava;região;alavês:ADJ;Espanha
Álava;região;alavês:N;Espanha
Albânia;país;albanês:ADJ;Europa
Albânia;país;albanês:N;Europa
Albânia;país;albano:ADJ;Europa
Albânia;país;albano:N;Europa
Albergaria-a-Velha;vila;albergariense:ADJ;Aveiro (Portugal)
